emp_no,first_name,last_name,dept_no
10139,Ewing,Foong,d005
10001,Georgi,Facello,d005
10006,Anneke,Preusig,d005
10008,Saniya,Kalloufi,d005
10012,Patricio,Bridgland,d005
10014,Berni,Genin,d005
10018,Kazuhide,Peha,d005
10021,Ramzi,Erde,d005
10022,Shahaf,Famili,d005
10023,Bojan,Montemayor,d005
10025,Prasadram,Heyers,d005
10027,Divier,Reistad,d005
10028,Domenick,Tempesti,d005
10031,Karsten,Joslin,d005
10037,Pradeep,Makrucki,d005
10040,Weiyi,Meriste,d005
10043,Yishay,Tzvieli,d005
10048,Florian,Syrotiuk,d005
10053,Sanjiv,Zschoche,d007
10056,Brendon,Bernini,d005
10057,Ebbe,Callaway,d005
10062,Anoosh,Peyn,d005
10065,Satosi,Awdeh,d005
10066,Kwee,Schusler,d005
10070,Reuven,Garigliano,d005
10072,Hironoby,Sidou,d005
10074,Mokhtar,Bernatsky,d005
10075,Gao,Dolinsky,d005
10076,Erez,Ritzmann,d005
10078,Danel,Mondadori,d005
10079,Kshitij,Gils,d005
10090,Kendra,Hofting,d005
10091,Amabile,Gomatam,d005
10092,Valdiodio,Niizuma,d005
10103,Akemi,Birch,d005
10116,Dayanand,Czap,d005
10118,Zhonghui,Zyda,d005
10121,Guoxiang,Ramsay,d005
10122,Ohad,Esposito,d005
10127,Subir,Baja,d005
10129,Armond,Peir,d005
10134,Diederik,Siprelle,d005
10268,Nishit,Siochi,d005
10271,Sham,Eastman,d005
10274,Dmitri,Pearson,d005
10275,Marek,Luck,d005
10276,Xuejun,Hempstead,d005
10278,Lubomir,Nitsch,d005
10283,Kauko,Birjandi,d005
10287,Marie,Pietracaprina,d005
10289,Shay,Poulakidas,d005
10290,Yongmao,Pleszkun,d005
10294,Rutger,Miara,d005
10305,Hirochika,Piancastelli,d005
10309,Prodip,Schusler,d005
10311,Hsiangchu,Molenkamp,d005
10315,Maris,Angelopoulos,d005
10318,Mototsugu,Beilner,d005
